,T cell,Epithelial cell,B cell,Plasma cell,Mast cell,Macrophage/Monocyte,NK cell,Neutrophils,cDC,pDC,Endothelial cell,Stromal
Chen_Zhang_2020_NSCLC-1,0.15533963,0.05041335,0.21862692,0.076190904,0.04805118,0.053980496,0.06041593,0.030984525,0.064120814,0.07210068,0.087946385,0.08182915
Chen_Zhang_2020_NSCLC-2,0.25121003,0.05759119,0.09411801,0.07382095,0.07619447,0.057175066,0.05737582,0.039026015,0.0738378,0.051562753,0.043670833,0.12441714
Chen_Zhang_2020_NSCLC-3,0.33087358,0.05634769,0.094526745,0.089997634,0.046541717,0.061885394,0.0587434,0.035957582,0.071730375,0.071224235,0.03998832,0.042183314
Chen_Zhang_2020_NSCLC-4,0.38247216,0.068645306,0.08874431,0.06972459,0.042187084,0.050580055,0.07554463,0.034040656,0.053584434,0.06260482,0.037116397,0.03475556
Chen_Zhang_2020_NSCLC-5,0.3180438,0.061536442,0.14720291,0.07402374,0.046228185,0.05150983,0.08052725,0.034662243,0.052732494,0.063350625,0.037712052,0.032470457
Chen_Zhang_2020_NSCLC-6,0.113257036,0.06543584,0.05800312,0.06160632,0.054341312,0.2805249,0.06688218,0.044867303,0.114781424,0.05535603,0.047979876,0.036964633
Chen_Zhang_2020_NSCLC-7,0.118663,0.05516033,0.13622826,0.057432573,0.040735427,0.1819738,0.05628502,0.09668406,0.11173279,0.057787184,0.041821767,0.045495827
Chen_Zhang_2020_NSCLC-8,0.08628968,0.21933524,0.050388325,0.048011575,0.048292343,0.15830848,0.07540769,0.04085616,0.15447855,0.046617217,0.039161146,0.03285359
Chen_Zhang_2020_NSCLC-9,0.053924635,0.44301835,0.058056943,0.05589638,0.04636431,0.055790666,0.037637476,0.041456603,0.05486714,0.052117225,0.039395716,0.061474614
Chen_Zhang_2020_NSCLC-10,0.27640584,0.12736173,0.07951823,0.07526187,0.045311242,0.069555275,0.08369934,0.039454285,0.064221725,0.062964655,0.03573289,0.04051296
Chen_Zhang_2020_NSCLC-11,0.15147316,0.05800415,0.06134521,0.15988307,0.07942418,0.13959128,0.07729496,0.05769059,0.062366728,0.062455516,0.042122785,0.048348445
Goveia_Carmeliet_2020_patient_32_tumor_primary,0.050016366,0.068565905,0.05522748,0.053157017,0.04202008,0.054435764,0.03145328,0.034230005,0.050356824,0.042951163,0.39739808,0.12018809
Goveia_Carmeliet_2020_patient_40_normal_adjacent,0.057885896,0.059100457,0.061710212,0.052804235,0.04661657,0.27237102,0.041954193,0.03857937,0.07040887,0.045306806,0.20823494,0.045027472
Goveia_Carmeliet_2020_patient_40_tumor_primary,0.06415773,0.0797944,0.07895766,0.04602444,0.040266715,0.12625034,0.067511946,0.03615179,0.052753907,0.05026702,0.30967367,0.04819044
Goveia_Carmeliet_2020_patient_41_normal_adjacent,0.061322745,0.06114932,0.052214973,0.04941584,0.053052604,0.32919678,0.05150163,0.04331171,0.064763695,0.04722993,0.14338565,0.0434551
Goveia_Carmeliet_2020_patient_41_tumor_primary,0.058752675,0.22366112,0.048292127,0.044972297,0.043489788,0.06579491,0.06521845,0.035223726,0.047398273,0.057420563,0.22843267,0.08134344
Goveia_Carmeliet_2020_patient_42_normal_adjacent,0.07569757,0.06486323,0.053380374,0.04880506,0.069278166,0.22779445,0.058188878,0.040838405,0.07783868,0.051493924,0.18287651,0.04894477
Goveia_Carmeliet_2020_patient_42_tumor_primary,0.08898674,0.060524162,0.061097268,0.06844377,0.04924258,0.25964367,0.056429807,0.054514427,0.09801398,0.1072823,0.05246595,0.043355346
Goveia_Carmeliet_2020_patient_45_normal_adjacent,0.06237765,0.063818045,0.057639427,0.05733661,0.05070328,0.31325114,0.04176827,0.04042403,0.067070946,0.057833463,0.13336207,0.054415066
Goveia_Carmeliet_2020_patient_45_tumor_primary,0.05064601,0.1868574,0.051651046,0.04745013,0.05591682,0.05894543,0.03898077,0.0367287,0.05629526,0.057351463,0.27543706,0.08373989
Goveia_Carmeliet_2020_patient_46_normal_adjacent,0.051583562,0.1041605,0.054990105,0.049649086,0.057157744,0.31786823,0.035533305,0.040211163,0.06370603,0.051388454,0.115151525,0.058600243
Goveia_Carmeliet_2020_patient_46_tumor_primary,0.045676462,0.30371213,0.05031032,0.05912729,0.04032134,0.04793836,0.042460028,0.032551765,0.051998045,0.049237985,0.17621465,0.100451574
Goveia_Carmeliet_2020_patient_50_normal_adjacent,0.060060117,0.06073937,0.0475166,0.051323596,0.09550192,0.26124126,0.0562995,0.037082028,0.062252335,0.04477098,0.1626607,0.060551625
Goveia_Carmeliet_2020_patient_50_tumor_primary,0.05429066,0.20153709,0.04803619,0.049071316,0.047924235,0.09563121,0.0413712,0.036523946,0.069303475,0.048414107,0.22254652,0.08535012
